Anno;Provincia produttore;Codice EER;Unita di misura;Regione;Pericoloso;Descrizione EER;Tot_2026-08-03;Tot_2026-09-07;Tot_2026-09-15
2026;AG;180202;kg;Sicilia;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;1566.0;1948.0;1948.0
2026;AG;180203;kg;Sicilia;NP;rifiuti che non devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;2.0;2.0;4.0
2026;AG;180203;l;Sicilia;NP;rifiuti che non devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;4.0;4.0;4.0
2026;AG;180208;kg;Sicilia;NP;medicinali diversi da quelli di cui alla voce 18 02 07;100.0;100.0;100.0
2026;AG;190106;kg;Sicilia;P;rifiuti liquidi acquosi prodotti dal trattamento dei fumi e altri rifiuti liquidi acquosi;1.0;1.0;1.0
2026;AG;190207;kg;Sicilia;P;oli e concentrati prodotti da processi di separazione;2800.0;2800.0;2800.0
2026;AG;190501;kg;Sicilia;NP;parte di rifiuti urbani e simili non compostata;1303170.0;1750330.0;1750330.0
2026;AG;190703;kg;Sicilia;NP;percolato di discarica, diverso da quello di cui alla voce 19 07 02;12393600.0;13844000.0;13844000.0
2026;AG;190703;l;Sicilia;NP;percolato di discarica, diverso da quello di cui alla voce 19 07 02;2044000.0;2134000.0;2134000.0
2026;AG;190801;kg;Sicilia;NP;Residui di vagliatura;234215.0;237495.0;237495.0
2026;AG;190802;kg;Sicilia;NP;rifiuti da dissabbiamento;674926.0;725528.0;725528.0
2026;AG;190805;kg;Sicilia;NP;fanghi prodotti dal trattamento delle acque reflue urbane;3618199.0;4900086.0;4920086.0
2026;AG;190809;kg;Sicilia;NP;miscele di oli e grassi prodotte dalla separazione olio/acqua, contenenti esclusivamente oli e grassi commestibili;;4170.0;4170.0
2026;AG;190809;l;Sicilia;NP;miscele di oli e grassi prodotte dalla separazione olio/acqua, contenenti esclusivamente oli e grassi commestibili;6450.0;10630.0;10630.0
2026;AG;190812;kg;Sicilia;NP;fanghi prodotti dal trattamento biologico di acque reflue industriali, diversi da quelli di cui alla voce 19 08 11;;276.0;276.0
2026;AG;190813;kg;Sicilia;P;fanghi contenenti sostanze pericolose prodotti da altri trattamenti di acque reflue industriali;75350.0;75532.0;75534.0
2026;AG;190814;kg;Sicilia;NP;fanghi prodotti da altri trattamenti di acque reflue industriali, diversi da quelli di cui alla voce 19 08 13;1530930.0;1793890.0;1808470.0
2026;AG;190901;kg;Sicilia;NP;rifiuti solidi prodotti dai processi di filtrazione e vaglio primari;500.0;500.0;500.0
2026;AG;190902;kg;Sicilia;NP;fanghi prodotti dai processi di chiarificazione dell'acqua;1920000.0;2144000.0;2144000.0
2026;AG;190904;kg;Sicilia;NP;carbone attivo esaurito;1080.0;1080.0;1080.0
2026;AG;190905;kg;Sicilia;NP;resine a scambio ionico saturate o esaurite;1220.0;1220.0;1220.0
2026;AG;191202;kg;Sicilia;NP;metalli ferrosi;955437.0;1161602.0;1199782.0
2026;AG;191203;kg;Sicilia;NP;metalli non ferrosi;334766.0;355141.0;357906.0
2026;AG;191204;kg;Sicilia;NP;plastica e gomma;7277635.0;9077155.0;9906645.0
2026;AG;191205;kg;Sicilia;NP;vetro;3938242.0;5016502.0;5238442.0
2026;AG;191207;kg;Sicilia;NP;legno diverso da quello di cui alla voce 19 12 06;2042940.0;2292388.0;2353388.0
2026;AG;191208;kg;Sicilia;NP;prodotti tessili;258360.0;432660.0;432660.0
2026;AG;191212;kg;Sicilia;NP;altri rifiuti (compresi materiali misti) prodotti dal trattamento meccanico di rifiuti, diversi da quelli di cui alla voce 19 12 11;40187256.0;46837642.0;47425207.0
2026;AG;191212;l;Sicilia;NP;altri rifiuti (compresi materiali misti) prodotti dal trattamento meccanico di rifiuti, diversi da quelli di cui alla voce 19 12 11;810000.0;990000.0;990000.0
2026;AG;191308;kg;Sicilia;NP;rifiuti liquidi acquosi e rifiuti concentrati acquosi prodotti dalle operazioni di risanamento delle acque di falda, diversi da quelli di cui alla voce 19 13 07;7180.0;8240.0;8240.0
2026;AG;200101;kg;Sicilia;NP;carta e cartone;1099424.0;1349813.0;1370813.0
2026;AG;200102;kg;Sicilia;NP;vetro;4.0;4.0;4.0
2026;AG;200108;kg;Sicilia;NP;rifiuti biodegradabili di cucine e mense;2643960.0;3313420.0;3337420.0
2026;AG;200110;kg;Sicilia;NP;abbigliamento;67400.0;94700.0;97100.0
2026;AG;200111;kg;Sicilia;NP;prodotti tessili;39050.0;44050.0;44050.0
2026;AG;200121;kg;Sicilia;P;tubi fluorescenti ed altri rifiuti contenenti mercurio;1118.0;1545.0;1844.0
2026;AG;200123;kg;Sicilia;P;apparecchiature fuori uso contenenti clorofluorocarburi;22770.0;61910.0;61910.0
2026;AG;200125;kg;Sicilia;NP;oli e grassi commestibili;26000.0;35930.0;36845.0
2026;AG;200125;l;Sicilia;NP;oli e grassi commestibili;6980.0;7225.0;8425.0
2026;AG;200133;kg;Sicilia;P;batterie e accumulatori di cui alle voci 16 06 01, 16 06 02 e 16 06 03, nonché batterie e accumulatori non suddivisi contenenti tali batterie;15000.0;18790.0;18790.0
2026;AG;200134;kg;Sicilia;NP;batterie e accumulatori, diversi da quelli di cui alla voce 20 01 33;232.0;232.0;232.0
2026;AG;200135;kg;Sicilia;P;apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alla voce 20 01 21 e 20 01 23, contenenti componenti pericolosi (2);8683.0;28883.0;28883.0
2026;AG;200136;kg;Sicilia;NP;apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35;32100.0;38000.0;38000.0
2026;AG;200138;kg;Sicilia;NP;legno diverso da quello di cui alla voce 20 01 37;556557.0;624757.0;624757.0
2026;AG;200139;kg;Sicilia;NP;plastica;365961.0;456836.0;460636.0
2026;AG;200140;kg;Sicilia;NP;metalli;126430.0;149490.0;149490.0
2026;AG;200201;kg;Sicilia;NP;rifiuti biodegradabili;101400.0;104700.0;112050.0
2026;AG;200301;kg;Sicilia;NP;rifiuti urbani non differenziati;2245110.0;3034780.0;3121260.0
2026;AG;200303;kg;Sicilia;NP;residui della pulizia stradale;397929.0;537929.0;544129.0
2026;AG;200304;kg;Sicilia;NP;fanghi delle fosse settiche;263760.0;342700.0;345860.0
2026;AG;200304;l;Sicilia;NP;fanghi delle fosse settiche;90500.0;195900.0;286100.0
2026;AG;200306;kg;Sicilia;NP;rifiuti della pulizia delle fognature;1871154.0;3142946.0;3142946.0
2026;AG;200306;l;Sicilia;NP;rifiuti della pulizia delle fognature;93600.0;93600.0;101100.0
2026;AG;200307;kg;Sicilia;NP;rifiuti ingombranti;331319.0;380559.0;390759.0
2026;AL;010102;kg;Piemonte;NP;rifiuti da estrazione di minerali non metalliferi;5897440.0;6101340.0;6101340.0
2026;AL;010399;kg;Piemonte;NP;rifiuti non specificati altrimenti;3000.0;3000.0;3000.0
2026;AL;010407;kg;Piemonte;P;rifiuti contenenti sostanze pericolose, prodotti da trattamenti chimici e fisici di minerali non metalliferi;28.0;28.0;28.0
2026;AL;010412;kg;Piemonte;NP;sterili ed altri residui del lavaggio e della pulitura di minerali, diversi da quelli di cui alle voci 0104 07 e 01 04 11;2400000.0;2400000.0;2400000.0
2026;AL;010413;kg;Piemonte;NP;rifiuti prodotti dal taglio e dalla segagione della pietra, diversi da quelli di cui alla voce 01 04 07;195.0;195.0;195.0
2026;AL;010504;kg;Piemonte;NP;fanghi e rifiuti di perforazione di pozzi per acque dolci;4330.0;4330.0;4330.0
2026;AL;020101;kg;Piemonte;NP;fanghi da operazioni di lavaggio e pulizia;6300.0;8900.0;8500.0
2026;AL;020104;kg;Piemonte;NP;rifiuti plastici (ad esclusione degli imballaggi);5600.0;6600.0;6600.0
