Anno;Provincia produttore;Codice EER;Unita di misura;Regione;Pericoloso;Descrizione EER;Var_2026-09-07;Var_2026-09-15
2026;AG;190809;l;Sicilia;NP;miscele di oli e grassi prodotte dalla separazione olio/acqua, contenenti esclusivamente oli e grassi commestibili;4180.0;0.0
2026;AG;190812;kg;Sicilia;NP;fanghi prodotti dal trattamento biologico di acque reflue industriali, diversi da quelli di cui alla voce 19 08 11;276.0;0.0
2026;AG;190813;kg;Sicilia;P;fanghi contenenti sostanze pericolose prodotti da altri trattamenti di acque reflue industriali;182.0;2.0
2026;AG;190814;kg;Sicilia;NP;fanghi prodotti da altri trattamenti di acque reflue industriali, diversi da quelli di cui alla voce 19 08 13;262960.0;14580.0
2026;AG;190901;kg;Sicilia;NP;rifiuti solidi prodotti dai processi di filtrazione e vaglio primari;0.0;0.0
2026;AG;190902;kg;Sicilia;NP;fanghi prodotti dai processi di chiarificazione dell'acqua;224000.0;0.0
2026;AG;190904;kg;Sicilia;NP;carbone attivo esaurito;0.0;0.0
2026;AG;190905;kg;Sicilia;NP;resine a scambio ionico saturate o esaurite;0.0;0.0
2026;AG;191202;kg;Sicilia;NP;metalli ferrosi;206165.0;38180.0
2026;AG;191203;kg;Sicilia;NP;metalli non ferrosi;20375.0;2765.0
2026;AG;191204;kg;Sicilia;NP;plastica e gomma;1799520.0;829490.0
2026;AG;191205;kg;Sicilia;NP;vetro;1078260.0;221940.0
2026;AG;191207;kg;Sicilia;NP;legno diverso da quello di cui alla voce 19 12 06;249448.0;61000.0
2026;AG;191208;kg;Sicilia;NP;prodotti tessili;174300.0;0.0
2026;AG;191212;kg;Sicilia;NP;altri rifiuti (compresi materiali misti) prodotti dal trattamento meccanico di rifiuti, diversi da quelli di cui alla voce 19 12 11;6650386.0;587565.0
2026;AG;191212;l;Sicilia;NP;altri rifiuti (compresi materiali misti) prodotti dal trattamento meccanico di rifiuti, diversi da quelli di cui alla voce 19 12 11;180000.0;0.0
2026;AG;191308;kg;Sicilia;NP;rifiuti liquidi acquosi e rifiuti concentrati acquosi prodotti dalle operazioni di risanamento delle acque di falda, diversi da quelli di cui alla voce 19 13 07;1060.0;0.0
2026;AG;200101;kg;Sicilia;NP;carta e cartone;250389.0;21000.0
2026;AG;200102;kg;Sicilia;NP;vetro;0.0;0.0
2026;AG;200108;kg;Sicilia;NP;rifiuti biodegradabili di cucine e mense;669460.0;24000.0
2026;AG;200110;kg;Sicilia;NP;abbigliamento;27300.0;2400.0
2026;AG;200111;kg;Sicilia;NP;prodotti tessili;5000.0;0.0
2026;AG;200121;kg;Sicilia;P;tubi fluorescenti ed altri rifiuti contenenti mercurio;427.0;299.0
2026;AG;200123;kg;Sicilia;P;apparecchiature fuori uso contenenti clorofluorocarburi;39140.0;0.0
2026;AG;200125;kg;Sicilia;NP;oli e grassi commestibili;9930.0;915.0
2026;AG;200125;l;Sicilia;NP;oli e grassi commestibili;245.0;1200.0
2026;AG;200133;kg;Sicilia;P;batterie e accumulatori di cui alle voci 16 06 01, 16 06 02 e 16 06 03, nonché batterie e accumulatori non suddivisi contenenti tali batterie;3790.0;0.0
2026;AG;200134;kg;Sicilia;NP;batterie e accumulatori, diversi da quelli di cui alla voce 20 01 33;0.0;0.0
2026;AG;200135;kg;Sicilia;P;apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alla voce 20 01 21 e 20 01 23, contenenti componenti pericolosi (2);20200.0;0.0
2026;AG;200136;kg;Sicilia;NP;apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35;5900.0;0.0
2026;AG;200138;kg;Sicilia;NP;legno diverso da quello di cui alla voce 20 01 37;68200.0;0.0
2026;AG;200139;kg;Sicilia;NP;plastica;90875.0;3800.0
2026;AG;200140;kg;Sicilia;NP;metalli;23060.0;0.0
2026;AG;200201;kg;Sicilia;NP;rifiuti biodegradabili;3300.0;7350.0
2026;AG;200301;kg;Sicilia;NP;rifiuti urbani non differenziati;789670.0;86480.0
2026;AG;200303;kg;Sicilia;NP;residui della pulizia stradale;140000.0;6200.0
2026;AG;200304;kg;Sicilia;NP;fanghi delle fosse settiche;78940.0;3160.0
2026;AG;200304;l;Sicilia;NP;fanghi delle fosse settiche;105400.0;90200.0
2026;AG;200306;kg;Sicilia;NP;rifiuti della pulizia delle fognature;1271792.0;0.0
2026;AG;200306;l;Sicilia;NP;rifiuti della pulizia delle fognature;0.0;7500.0
2026;AG;200307;kg;Sicilia;NP;rifiuti ingombranti;49240.0;10200.0
2026;AL;010102;kg;Piemonte;NP;rifiuti da estrazione di minerali non metalliferi;203900.0;0.0
2026;AL;010399;kg;Piemonte;NP;rifiuti non specificati altrimenti;0.0;0.0
2026;AL;010407;kg;Piemonte;P;rifiuti contenenti sostanze pericolose, prodotti da trattamenti chimici e fisici di minerali non metalliferi;0.0;0.0
2026;AL;010412;kg;Piemonte;NP;sterili ed altri residui del lavaggio e della pulitura di minerali, diversi da quelli di cui alle voci 0104 07 e 01 04 11;0.0;0.0
2026;AL;010413;kg;Piemonte;NP;rifiuti prodotti dal taglio e dalla segagione della pietra, diversi da quelli di cui alla voce 01 04 07;0.0;0.0
2026;AL;010504;kg;Piemonte;NP;fanghi e rifiuti di perforazione di pozzi per acque dolci;0.0;0.0
2026;AL;020101;kg;Piemonte;NP;fanghi da operazioni di lavaggio e pulizia;2600.0;-400.0
2026;AL;020104;kg;Piemonte;NP;rifiuti plastici (ad esclusione degli imballaggi);1000.0;0.0
2026;AL;020106;kg;Piemonte;NP;feci animali, urine e letame (comprese le lettiere usate), effluenti, raccolti separatamente e trattati fuori sito;0.0;0.0
2026;AL;020201;kg;Piemonte;NP;fanghi da operazioni di lavaggio e pulizia;71540.0;0.0
2026;AL;020203;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;520.0;0.0
2026;AL;020204;kg;Piemonte;NP;fanghi da trattamento in loco degli effluenti;4000.0;0.0
2026;AL;020301;kg;Piemonte;NP;fanghi prodotti da operazioni di lavaggio, pulizia, sbucciatura, centrifugazione e separazione;89180.0;800.0
2026;AL;020304;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;886115.0;564900.0
2026;AL;020305;kg;Piemonte;NP;fanghi da trattamento in loco degli effluenti;70050.0;0.0
2026;AL;020399;kg;Piemonte;NP;rifiuti non specificati altrimenti;2300.0;0.0
2026;AL;020499;kg;Piemonte;NP;rifiuti non specificati altrimenti;0.0;0.0
2026;AL;020601;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;32790.0;12960.0
2026;AL;020603;kg;Piemonte;NP;fanghi da trattamento in loco degli effluenti;54100.0;0.0
2026;AL;020701;kg;Piemonte;NP;rifiuti prodotti dalle operazioni di lavaggio, pulizia e macinazione della materia prima;66160.0;0.0
2026;AL;020702;kg;Piemonte;NP;rifiuti prodotti dalla distillazione di bevande alcoliche;74200.0;0.0
2026;AL;020703;kg;Piemonte;NP;rifiuti prodotti dai trattamenti chimici;33640.0;0.0
2026;AL;020704;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;170380.0;0.0
2026;AL;020705;kg;Piemonte;NP;fanghi da trattamento in loco degli effluenti;14000.0;14000.0
2026;AL;030104;kg;Piemonte;P;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci contenenti sostanze pericolose;9000.0;0.0
2026;AL;030105;kg;Piemonte;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;1094860.0;437800.0
2026;AL;030307;kg;Piemonte;NP;scarti della separazione meccanica nella produzione di polpa da rifiuti di carta e cartone;780370.0;5000.0
2026;AL;040109;kg;Piemonte;NP;rifiuti delle operazioni di confezionamento e finitura;0.0;0.0
2026;AL;040209;kg;Piemonte;NP;rifiuti da materiali compositi (fibre impregnate, elastomeri, plastomeri);0.0;0.0
2026;AL;040221;kg;Piemonte;NP;rifiuti da fibre tessili grezze;3500.0;0.0
2026;AL;040222;kg;Piemonte;NP;rifiuti da fibre tessili lavorate;7000.0;5000.0
2026;AL;050103;kg;Piemonte;P;morchie da fondi di serbatoi;0.0;0.0
