Anno;Provincia impianto;Regione;Codice EER;Pericoloso;Descrizione EER;Attivita a destinazione;Tipo operazione;Quantita;Unita di misura
2025;AG;Sicilia;200304;NP;fanghi delle fosse settiche;D9;D;331440;kg
2025;AG;Sicilia;200306;NP;rifiuti della pulizia delle fognature;D8;D;4246676;kg
2025;AG;Sicilia;200306;NP;rifiuti della pulizia delle fognature;R13;R;7020;kg
2025;AG;Sicilia;200307;NP;rifiuti ingombranti;R12;R;10693312;kg
2025;AG;Sicilia;200307;NP;rifiuti ingombranti;R13;R;26320;kg
2025;AG;Sicilia;200307;NP;rifiuti ingombranti;R3;R;95000;kg
2025;AL;Piemonte;010102;NP;rifiuti da estrazione di minerali non metalliferi;R10;R;8600240;kg
2025;AL;Piemonte;010410;NP;polveri e residui affini, diversi da quelli di cui alla voce 01 04 07;R5;R;18660;kg
2025;AL;Piemonte;010413;NP;rifiuti prodotti dal taglio e dalla segagione della pietra, diversi da quelli di cui alla voce 01 04 07;R5;R;978810;kg
2025;AL;Piemonte;020101;NP;fanghi da operazioni di lavaggio e pulizia;R10;R;11100;kg
2025;AL;Piemonte;020104;NP;rifiuti plastici (ad esclusione degli imballaggi);R13;R;480;kg
2025;AL;Piemonte;020104;NP;rifiuti plastici (ad esclusione degli imballaggi);R3;R;26380;kg
2025;AL;Piemonte;020201;NP;fanghi da operazioni di lavaggio e pulizia;D13;D;246000;kg
2025;AL;Piemonte;020201;NP;fanghi da operazioni di lavaggio e pulizia;D8;D;1020;kg
2025;AL;Piemonte;020201;NP;fanghi da operazioni di lavaggio e pulizia;D9;D;69440;kg
2025;AL;Piemonte;020203;NP;scarti inutilizzabili per il consumo o la trasformazione;R12;R;21100;kg
2025;AL;Piemonte;020304;NP;scarti inutilizzabili per il consumo o la trasformazione;D13;D;184490;kg
2025;AL;Piemonte;020304;NP;scarti inutilizzabili per il consumo o la trasformazione;D8;D;950;kg
2025;AL;Piemonte;020304;NP;scarti inutilizzabili per il consumo o la trasformazione;D9;D;39290;kg
2025;AL;Piemonte;020304;NP;scarti inutilizzabili per il consumo o la trasformazione;R10;R;79300;kg
2025;AL;Piemonte;020304;NP;scarti inutilizzabili per il consumo o la trasformazione;R12;R;521217;kg
2025;AL;Piemonte;020304;NP;scarti inutilizzabili per il consumo o la trasformazione;R13;R;1900;kg
2025;AL;Piemonte;020304;NP;scarti inutilizzabili per il consumo o la trasformazione;R9;R;562660;kg
2025;AL;Piemonte;020399;NP;rifiuti non specificati altrimenti;R10;R;12200;kg
2025;AL;Piemonte;020501;NP;scarti inutilizzabili per il consumo o la trasformazione;R12;R;12160;kg
2025;AL;Piemonte;020601;NP;scarti inutilizzabili per il consumo o la trasformazione;R12;R;114740;kg
2025;AL;Piemonte;020603;NP;fanghi da trattamento in loco degli effluenti;R12;R;134180;kg
2025;AL;Piemonte;020704;NP;scarti inutilizzabili per il consumo o la trasformazione;R12;R;17960;kg
2025;AL;Piemonte;030101;NP;scarti di corteccia e sughero;R13;R;580;kg
2025;AL;Piemonte;030105;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;R1;R;99000;kg
2025;AL;Piemonte;030105;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;R12;R;23920;kg
2025;AL;Piemonte;030105;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;R13;R;167870;kg
2025;AL;Piemonte;030105;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;R3;R;172000;kg
2025;AL;Piemonte;030307;NP;scarti della separazione meccanica nella produzione di polpa da rifiuti di carta e cartone;R12;R;3945540;kg
2025;AL;Piemonte;030307;NP;scarti della separazione meccanica nella produzione di polpa da rifiuti di carta e cartone;R13;R;172270;kg
2025;AL;Piemonte;040220;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 04 02 19;D1;D;13540;kg
2025;AL;Piemonte;040220;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 04 02 19;D10;D;88780;kg
2025;AL;Piemonte;040220;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 04 02 19;D13;D;414660;kg
2025;AL;Piemonte;040220;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 04 02 19;D15;D;7660;kg
2025;AL;Piemonte;040222;NP;rifiuti da fibre tessili lavorate;R12;R;61740;kg
2025;AL;Piemonte;050107;P;catrami acidi;R6;R;3626348;kg
2025;AL;Piemonte;060101;P;acido solforico e acido solforoso;R6;R;28375066;kg
2025;AL;Piemonte;060203;P;idrossido di ammonio;R5;R;1283;kg
